Interval between events (microseconds) - histogram count,Number of counts - histogram count
0.015625,0
0.046875,0
0.078125,0
0.109375,0
0.140625,0
0.171875,0
0.203125,0
0.234375,0
0.265625,0
0.296875,0
0.328125,0
0.359375,0
0.390625,0
0.421875,0
0.453125,0
0.484375,0
0.515625,0
0.546875,0
0.578125,0
0.609375,0
0.640625,0
0.671875,0
0.703125,0
0.734375,0
0.765625,0
0.796875,0
0.828125,0
0.859375,0
0.890625,0
0.921875,0
0.953125,0
0.984375,0
1.01563,0
1.04688,0
1.07813,0
1.10938,0
1.14063,0
1.17188,1
1.20313,1
1.23438,0
1.26563,0
1.29688,0
1.32813,0
1.35938,0
1.39063,0
1.42188,0
1.45313,0
1.48438,0
1.51563,0
1.54688,1
1.57813,0
1.60938,0
1.64063,1
1.67188,2
1.70313,0
1.73438,1
1.76563,2
1.79688,4
1.82813,4
1.85938,2
1.89063,1
1.92188,0
1.95313,2
1.98438,1
2.01563,0
2.04688,3
2.07813,4
2.10938,2
2.14063,3
2.17188,0
2.20313,1
2.23438,5
2.26563,4
2.29688,4
2.32813,2
2.35938,2
2.39063,3
2.42188,5
2.45313,6
2.48438,3
2.51563,2
2.54688,5
2.57813,2
2.60938,2
2.64063,9
2.67188,7
2.70313,7
2.73438,8
2.76563,7
2.79688,1
2.82813,3
2.85938,4
2.89063,5
2.92188,3
2.95313,1
2.98438,6
3.01563,0
3.04688,1
3.07813,3
3.10938,0
3.14063,3
3.17188,1
3.20313,6
3.23438,2
3.26563,2
3.29688,2
3.32813,3
3.35938,5
3.39063,3
3.42188,4
3.45313,2
3.48438,8
3.51563,2
3.54688,4
3.57813,3
3.60938,2
3.64063,2
3.67188,0
3.70313,0
3.73438,6
3.76563,5
3.79688,5
3.82813,5
3.85938,9
3.89063,4
3.92188,4
3.95313,5
3.98438,4
4.01563,8
4.04688,2
4.07813,5
4.10938,5
4.14063,2
4.17188,6
4.20313,3
4.23438,5
4.26563,3
4.29688,7
4.32813,3
4.35938,2
4.39063,5
4.42188,1
4.45313,2
4.48438,1
4.51563,4
4.54688,4
4.57813,2
4.60938,2
4.64063,5
4.67188,2
4.70313,4
4.73438,2
4.76563,4
4.79688,2
4.82813,2
4.85938,8
4.89063,3
4.92188,5
4.95313,0
4.98438,2
5.01563,3
5.04688,5
5.07813,6
5.10938,2
5.14063,6
5.17188,5
5.20313,4
5.23438,2
5.26563,3
5.29688,8
5.32813,1
5.35938,5
5.39063,2
5.42188,1
5.45313,2
5.48438,3
5.51563,3
5.54688,4
5.57813,1
5.60938,3
5.64063,5
5.67188,2
5.70313,3
5.73438,4
5.76563,5
5.79688,5
5.82813,2
5.85938,4
5.89063,1
5.92188,3
5.95313,4
5.98438,2
6.01563,5
6.04688,1
6.07813,4
6.10938,4
6.14063,2
6.17188,4
6.20313,4
6.23438,4
6.26563,4
6.29688,7
6.32813,2
6.35938,3
6.39063,7
6.42188,2
6.45313,3
6.48438,8
6.51563,5
6.54688,1
6.57813,4
6.60938,4
6.64063,5
6.67188,3
6.70313,1
6.73438,1
6.76563,2
6.79688,3
6.82813,8
6.85938,0
6.89063,2
6.92188,7
6.95313,4
6.98438,1
7.01563,2
7.04688,4
7.07813,0
7.10938,5
7.14063,6
7.17188,3
7.20313,2
7.23438,3
7.26563,4
7.29688,3
7.32813,3
7.35938,0
7.39063,4
7.42188,2
7.45313,4
7.48438,0
7.51563,3
7.54688,8
7.57813,5
7.60938,5
7.64063,4
7.67188,4
7.70313,5
7.73438,3
7.76563,3
7.79688,6
7.82813,4
7.85938,1
7.89063,6
7.92188,5
7.95313,2
7.98438,5
8.01563,2
8.04688,6
8.07813,5
8.10938,4
8.14063,2
8.17188,3
8.20313,2
8.23438,2
8.26563,3
8.29688,4
8.32813,5
8.35938,1
8.39063,1
8.42188,2
8.45313,1
8.48438,3
8.51563,4
8.54688,4
8.57813,3
8.60938,3
8.64063,4
8.67188,6
8.70313,3
8.73438,3
8.76563,2
8.79688,8
8.82813,1
8.85938,4
8.89063,2
8.92188,3
8.95313,5
8.98438,3
9.01563,5
9.04688,3
9.07813,3
9.10938,0
9.14063,1
9.17188,8
9.20313,4
9.23438,4
9.26563,4
9.29688,4
9.32813,4
9.35938,1
9.39063,5
9.42188,8
9.45313,3
9.48438,8
9.51563,5
9.54688,5
9.57813,3
9.60938,5
9.64063,3
9.67188,5
9.70313,3
9.73438,5
9.76563,1
9.79688,2
9.82813,7
9.85938,4
9.89063,5
9.92188,1
9.95313,6
9.98438,2
10.0156,5
10.0469,1
10.0781,4
10.1094,1
10.1406,3
10.1719,6
10.2031,7
10.2344,1
10.2656,3
10.2969,4
10.3281,4
10.3594,4
10.3906,3
10.4219,5
10.4531,6
10.4844,3
10.5156,1
10.5469,5
10.5781,2
10.6094,5
10.6406,5
10.6719,5
10.7031,4
10.7344,2
10.7656,3
10.7969,4
10.8281,2
10.8594,3
10.8906,1
10.9219,5
10.9531,4
10.9844,5
11.0156,2
11.0469,3
11.0781,1
11.1094,3
11.1406,2
11.1719,5
11.2031,3
11.2344,4
11.2656,3
11.2969,3
11.3281,5
11.3594,2
11.3906,3
11.4219,6
11.4531,1
11.4844,3
11.5156,3
11.5469,3
11.5781,4
11.6094,1
11.6406,3
11.6719,4
11.7031,1
11.7344,3
11.7656,6
11.7969,3
11.8281,6
11.8594,4
11.8906,1
11.9219,5
11.9531,3
11.9844,8
12.0156,6
12.0469,4
12.0781,2
12.1094,7
12.1406,4
12.1719,4
12.2031,3
12.2344,4
12.2656,2
12.2969,3
12.3281,4
12.3594,4
12.3906,5
12.4219,7
12.4531,2
12.4844,3
12.5156,3
12.5469,8
12.5781,4
12.6094,5
12.6406,3
12.6719,7
12.7031,3
12.7344,3
12.7656,5
12.7969,3
12.8281,4
12.8594,2
12.8906,1
12.9219,2
12.9531,2
12.9844,1
13.0156,2
13.0469,3
13.0781,2
13.1094,5
13.1406,1
13.1719,9
13.2031,3
13.2344,6
13.2656,6
13.2969,4
13.3281,3
13.3594,5
13.3906,4
13.4219,1
13.4531,2
13.4844,6
13.5156,5
13.5469,2
13.5781,7
13.6094,5
13.6406,7
13.6719,6
13.7031,2
13.7344,1
13.7656,4
13.7969,7
13.8281,2
13.8594,5
13.8906,6
13.9219,0
13.9531,2
13.9844,4
14.0156,6
14.0469,4
14.0781,5
14.1094,2
14.1406,4
14.1719,4
14.2031,7
14.2344,4
14.2656,6
14.2969,3
14.3281,3
14.3594,3
14.3906,3
14.4219,3
14.4531,4
14.4844,4
14.5156,3
14.5469,1
14.5781,4
14.6094,7
14.6406,1
14.6719,5
14.7031,3
14.7344,2
14.7656,3
14.7969,6
14.8281,6
14.8594,6
14.8906,7
14.9219,6
14.9531,4
14.9844,5
15.0156,4
15.0469,2
15.0781,4
15.1094,4
15.1406,2
15.1719,3
15.2031,3
15.2344,4
15.2656,3
15.2969,8
15.3281,3
15.3594,0
15.3906,4
15.4219,4
15.4531,3
15.4844,2
15.5156,2
15.5469,5
15.5781,3